Player,Team,Pos,Injury,Status,Est. Return
Jamal Adams,SEA,S,Knee,IR,Subscribers Only
Matt Adams,CHI,LB,Calf,IR,Subscribers Only
Rodney Adams,NYJ,WR,Illness,NFI-R,Subscribers Only
Olasunkanmi Adeniyi,TEN,LB,Neck,IR,Subscribers Only
Jamal Agnew,JAX,WR,Knee,Questionable,Subscribers Only
Cam Akers,LAR,RB,Personal,Questionable,Subscribers Only
Azeez Al-Shaair,SF,LB,Knee - MCL,IR,Subscribers Only
Otaro Alaka,FA,LB,Undisclosed,Questionable,Subscribers Only
Isaac Alarcon,FA,OT,Ankle,Questionable,Subscribers Only
Christian Albright,FA,LB,Undisclosed,Questionable,Subscribers Only
Mackensie Alexander,FA,CB,Groin,Questionable,Subscribers Only
Maurice Alexander,FA,WR,Ankle,Questionable,Subscribers Only
Christopher Allen,DEN,LB,Foot,IR,Subscribers Only
Keenan Allen,LAC,WR,Hamstring,Questionable,Subscribers Only
Tremayne Anchrum,LAR,OT,Lower Leg,IR,Subscribers Only
Darius Anderson,HOU,RB,Knee,IR,Subscribers Only
Henry Anderson,CAR,DE,Illness,NFI-R,Subscribers Only
Tycen Anderson,CIN,S,Hamstring,IR,Subscribers Only
David Andrews,NE,C,Concussion,Questionable,Subscribers Only
Mark Andrews,BAL,TE,Shoulder,Questionable,Subscribers Only
Ezekiel Ansah,FA,DE,Biceps,Questionable,Subscribers Only
Andre Anthony,FA,LB,Undisclosed,Out,Subscribers Only
Israel Antwine,FA,DT,Suspension,Reserve-Sus,Subscribers Only
Eli Apple,CIN,CB,Hamstring,Questionable,Subscribers Only
Arik Armstead,SF,DE,Foot,Questionable,Subscribers Only
Grayland Arnold,HOU,S,Quadriceps,Questionable,Subscribers Only
Jaytlin Askew,FA,CB,Quadriceps,Questionable,Subscribers Only
Calvin Austin,PIT,WR,Foot,IR,Subscribers Only
C. J. Avery,FA,LB,Undisclosed,Questionable,Subscribers Only
Chidobe Awuzie,CIN,CB,Knee - ACL,Out,Subscribers Only
Christian Barmore,NE,DT,Knee,Questionable,Subscribers Only
Kenjon Barner,FA,RB,Undisclosed,Questionable,Subscribers Only
Krys Barnes,GB,LB,Ankle,IR,Subscribers Only
Derek Barnett,PHI,DE,Knee - ACL,IR,Subscribers Only
Anthony Barr,DAL,LB,Hamstring,Questionable,Subscribers Only
Shaquil Barrett,TB,LB,Achilles,IR,Subscribers Only
Ben Bartch,JAX,OG,Knee,IR,Subscribers Only
Tarell Basham,DAL,DE,Thigh,IR-R,Subscribers Only
Essang Bassey,DEN,CB,Hamstring,Questionable,Subscribers Only
Rashod Bateman,BAL,WR,Foot,Out,Subscribers Only
Nick Bawden,NYJ,FB,Undisclosed,IR,Subscribers Only
Evan Baylis,FA,TE,Ankle,Questionable,Subscribers Only
Darrian Beavers,NYG,LB,Knee - ACL,IR,Subscribers Only
Willie Beavers,FA,OG,Undisclosed,Questionable,Subscribers Only
Nate Becker,FA,TE,Undisclosed,Questionable,Subscribers Only
Odell Beckham,FA,WR,Knee - ACL,Questionable,Subscribers Only
Mekhi Becton,NYJ,OT,Kneecap,IR,Subscribers Only
Blake Bell,KC,TE,Hip,IR,Subscribers Only
Greg Bell,DET,RB,Hamstring,IR,Subscribers Only
Daniel Bellinger,NYG,TE,Eye,Out,Subscribers Only
B.J. Bello,FA,LB,Ankle,Questionable,Subscribers Only
Nick Bellore,SEA,FB,Concussion,Questionable,Subscribers Only
Giovani Bernard,TB,RB,Ankle,IR,Subscribers Only
Jared Bernhardt,ATL,WR,Groin,IR,Subscribers Only
Vince Biegel,BAL,LB,Achilles,IR,Subscribers Only
Austin Blythe,SEA,C,Knee,Questionable,Subscribers Only
Jacob Bobenmoyer,DEN,C,Thumb,IR,Subscribers Only
