p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff,week,year,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_run_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_run_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_run_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_run_defense,plyr_number
joeburrow_cin_2022_9,cin_2022_9,joeburrow_cin_2022,cin_2022,joeburrow,28022,qb,cin,1,10.56,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,0,0,0,0,0,0,0,0,0,0,0,0,9
joeflacco_nyj_2022_9,nyj_2022_9,joeflacco_nyj_2022,nyj_2022,joeflacco,4332,qb,nyj,1,30.89,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,0,0,0,0,0,0,0,0,0,0,0,0,9
matthewstafford_lar_2022_9,lar_2022_9,matthewstafford_lar_2022,lar_2022,matthewstafford,4924,qb,lar,1,-12.22,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,0,0,0,0,0,0,0,0,0,0,0,0,9
trevorlawrence_jax_2022_9,jax_2022_9,trevorlawrence_jax_2022,jax_2022,trevorlawrence,77632,qb,jax,1,-10.0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,0,0,0,0,0,0,0,0,0,0,0,0,9
russellwilson_den_2022_9,den_2022_9,russellwilson_den_2022,den_2022,russellwilson,7077,qb,den,1,0.27,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,0,0,0,0,0,0,0,0,0,0,0,0,9
jalenhurts_phi_2022_9,phi_2022_9,jalenhurts_phi_2022,phi_2022,jalenhurts,40291,qb,phi,1,0.0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,0,0,0,0,0,0,0,0,0,0,0,0,9
derekcarr_lv_2022_9,lv_2022_9,derekcarr_lv_2022,lv_2022,derekcarr,8671,qb,lv,1,7.84,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,0,0,0,0,0,0,0,0,0,0,0,0,9
patrickmahomes_kc_2022_9,kc_2022_9,patrickmahomes_kc_2022,kc_2022,patrickmahomes,11765,qb,kc,1,4.14,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,0,0,0,0,0,0,0,0,0,0,0,0,9
mitchelltrubisky_pit_2022_9,pit_2022_9,mitchelltrubisky_pit_2022,pit_2022,mitchelltrubisky,11757,qb,pit,1,28.48,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,0,0,0,0,0,0,0,0,0,0,0,0,9
davismills_hou_2022_9,hou_2022_9,davismills_hou_2022,hou_2022,davismills,52269,qb,hou,1,20.63,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,0,0,0,0,0,0,0,0,0,0,0,0,9
jameiswinston_no_2022_9,no_2022_9,jameiswinston_no_2022,no_2022,jameiswinston,9434,qb,no,1,-71.88,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,0,0,0,0,0,0,0,0,0,0,0,0,9
jaredgoff_det_2022_9,det_2022_9,jaredgoff_det_2022,det_2022,jaredgoff,10635,qb,det,1,-3.15,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,0,0,0,0,0,0,0,0,0,0,0,0,9
jacobybrissett_cle_2022_9,cle_2022_9,jacobybrissett_cle_2022,cle_2022,jacobybrissett,10725,qb,cle,1,-38.62,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,0,0,0,0,0,0,0,0,0,0,0,0,9
joshallen_buf_2022_9,buf_2022_9,joshallen_buf_2022,buf_2022,joshallen,46601,qb,buf,1,20.0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,0,0,0,0,0,0,0,0,0,0,0,0,9
