p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent,week,year,plyr_number
joeflacco_nyj_2022_8,nyj_2022_8,joeflacco_nyj_2022,nyj_2022,joeflacco,4332,qb,nyj,1,21,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
trevorlawrence_jax_2022_8,jax_2022_8,trevorlawrence_jax_2022,jax_2022,trevorlawrence,77632,qb,jax,1,20,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
matthewstafford_lar_2022_8,lar_2022_8,matthewstafford_lar_2022,lar_2022,matthewstafford,4924,qb,lar,1,18,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
joeburrow_cin_2022_8,cin_2022_8,joeburrow_cin_2022,cin_2022,joeburrow,28022,qb,cin,1,16,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
kylermurray_ari_2022_8,ari_2022_8,kylermurray_ari_2022,ari_2022,kylermurray,38334,qb,ari,1,15,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
patrickmahomes_kc_2022_8,kc_2022_8,patrickmahomes_kc_2022,kc_2022,patrickmahomes,11765,qb,kc,1,13,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
kirkcousins_min_2022_8,min_2022_8,kirkcousins_min_2022,min_2022,kirkcousins,7102,qb,min,1,13,30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
danieljones_nyg_2022_8,nyg_2022_8,danieljones_nyg_2022,nyg_2022,danieljones,39395,qb,nyg,1,12,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
bakermayfield_car_2022_8,car_2022_8,bakermayfield_car_2022,car_2022,bakermayfield,46518,qb,car,1,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
davismills_hou_2022_8,hou_2022_8,davismills_hou_2022,hou_2022,davismills,52269,qb,hou,1,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
dakprescott_dal_2022_8,dal_2022_8,dakprescott_dal_2022,dal_2022,dakprescott,10769,qb,dal,1,11,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
russellwilson_den_2022_8,den_2022_8,russellwilson_den_2022,den_2022,russellwilson,7077,qb,den,1,11,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
genosmith_sea_2022_8,sea_2022_8,genosmith_sea_2022,sea_2022,genosmith,7820,qb,sea,1,10,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
derekcarr_lv_2022_8,lv_2022_8,derekcarr_lv_2022,lv_2022,derekcarr,8671,qb,lv,1,10,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
jameiswinston_no_2022_8,no_2022_8,jameiswinston_no_2022,no_2022,jameiswinston,9434,qb,no,1,10,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
jacobybrissett_cle_2022_8,cle_2022_8,jacobybrissett_cle_2022,cle_2022,jacobybrissett,10725,qb,cle,1,10,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
justinherbert_lac_2022_8,lac_2022_8,justinherbert_lac_2022,lac_2022,justinherbert,28237,qb,lac,1,10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
jalenhurts_phi_2022_8,phi_2022_8,jalenhurts_phi_2022,phi_2022,jalenhurts,40291,qb,phi,1,10,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
lamarjackson_bal_2022_8,bal_2022_8,lamarjackson_bal_2022,bal_2022,lamarjackson,46416,qb,bal,1,10,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
tuatagovailoa_mia_2022_8,mia_2022_8,tuatagovailoa_mia_2022,mia_2022,tuatagovailoa,60326,qb,mia,1,10,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
tombrady_tb_2022_8,tb_2022_8,tombrady_tb_2022,tb_2022,tombrady,698,qb,tb,1,9,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
jaredgoff_det_2022_8,det_2022_8,jaredgoff_det_2022,det_2022,jaredgoff,10635,qb,det,1,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
